0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
1.55941	-0.138498	1.56368	-0.138671	1.55945	-0.138501	2.09897	0.0522228	2.19595	0.109339
1.62568	0.0199092	2.30012	-0.0208253	1.81209	0.0474826	2.09897	0.0522228	2.19595	0.109339
3.89109	-0.13363	2.23842	-0.207015	3.89093	-0.134166	4.29136	0.215312	2.28434	0.226323
3.96681	0.0727685	2.41107	0.0947098	4.19528	0.218461	4.29136	0.215312	2.28434	0.226323
6.86072	0.41532	3.35806	0.490942	6.86352	0.416817	6.56942	0.496096	2.36382	0.348847
6.69118	0.435249	2.63974	0.327067	6.43926	0.472879	6.56942	0.496096	2.36382	0.348847
9.07882	0.594407	2.14107	0.041492	9.07733	0.593211	8.92437	0.89924	2.43359	0.474526
9.09341	0.666513	2.39434	0.181334	8.89749	0.886982	8.92437	0.89924	2.43359	0.474526
11.575	1.66102	2.57893	1.57097	11.5756	1.6669	11.3468	1.427	2.49328	0.600781
11.5254	1.61976	2.38064	1.45787	11.4447	1.42958	11.3468	1.427	2.49328	0.600781
13.5941	2.31754	1.74104	0.146897	13.5921	2.31191	13.827	2.07905	2.5429	0.724947
13.6901	2.29499	2.31335	0.196563	13.6572	1.99915	13.827	2.07905	2.5429	0.724947
16.6418	2.89986	3.5835	0.91193	16.6456	2.903	16.3554	2.85243	2.58284	0.844365
16.4807	2.87192	2.86771	0.790819	16.282	2.84648	16.3554	2.85243	2.58284	0.844365
19.0125	3.70533	2.20995	0.855091	19.0106	3.70555	18.923	3.74161	2.61382	0.95648
19.0873	3.72582	2.36822	0.894656	19.363	3.87122	18.923	3.74161	2.61382	0.95648
21.3319	4.73128	2.13105	1.08046	21.3312	4.73205	21.5215	4.73855	2.63679	1.05891
21.4284	4.75076	2.49858	1.16868	21.6213	4.74762	21.5215	4.73855	2.63679	1.05891
24.0779	5.57215	2.77551	0.580262	24.0787	5.56967	24.1437	5.83295	2.65286	1.14953
24.186	5.60622	3.0041	0.645484	24.5601	5.92334	24.1437	5.83295	2.65286	1.14953
26.6084	6.9561	1.90424	1.82811	26.6052	6.96102	26.7833	7.01246	2.6632	1.22647
26.669	6.9725	2.35408	1.97433	26.5419	6.90075	26.7833	7.01246	2.6632	1.22647
29.5835	8.09388	3.39593	0.538256	29.5864	8.08789	29.4352	8.26299	2.66893	1.28822
29.5271	8.0837	3.0984	0.467531	29.4716	8.24519	29.4352	8.26299	2.66893	1.28822
31.945	9.87085	1.85514	2.69478	31.9416	9.88017	32.0955	9.56901	2.67105	1.33358
31.9326	9.86103	1.97764	2.73981	31.7928	9.49891	32.0955	9.56901	2.67105	1.33358
34.6125	10.7123	3.20684	-0.462266	34.6157	10.6988	34.7608	10.9139	2.67035	1.3617
34.6941	10.7405	3.30176	-0.427209	35.0599	10.9953	34.7608	10.9139	2.67035	1.3617
37.1445	12.0759	1.77019	2.54963	37.1404	12.0883	37.4287	12.2803	2.66736	1.37209
37.2623	12.1169	2.18922	2.69258	37.4973	12.2943	37.4287	12.2803	2.66736	1.37209
40.3241	13.4759	3.78692	0.450361	40.3285	13.4666	40.0971	13.6505	2.66232	1.36459
